Equipo
Palmeiras
Atlético Mineiro
Boca Juniors
Grêmio
Internacional
River Plate
Estudiantes de La Plata
Racing Club
Argentinos Juniors
Santos
Independiente
Corinthians
Vélez Sarsfield
Vasco da Gama
San Lorenzo
Cruzeiro
São Paulo
Flamengo
