Equipo
Olimpia
Colo-Colo
Atlético Bucaramanga
Sporting Cristal
Palmeiras
San Antonio Bulo Bulo
Deportivo Táchira
Independiente del Valle
Fortaleza EC
Barcelona de Guayaquil
Flamengo
Botafogo
Alianza Lima
Libertad
Universidad de Chile
LDU Quito
Carabobo
São Paulo
Nacional
Bahia
Peñarol
Cerro Porteño
Atlético Nacional
Bolívar
Universitario
Internacional
